node_label,x0_mm,y0_mm,u_mm,v_mm
390,55.0,90.0,0.275,0.45
391,60.0,90.0,0.3,0.45
392,65.0,90.0,0.325,0.45
393,70.0,90.0,0.35,0.45
394,75.0,90.0,0.375,0.45
395,80.0,90.0,0.4,0.45
396,85.0,90.0,0.425,0.45
397,90.0,90.0,0.45,0.45
398,95.0,90.0,0.475,0.45
399,100.0,90.0,0.5,0.45
400,0.0,95.0,2.3076923e-35,0.475
401,5.0,95.0,0.025,0.475
402,10.0,95.0,0.05,0.475
403,15.0,95.0,0.075,0.475
404,20.0,95.0,0.1,0.475
405,25.0,95.0,0.125,0.475
406,30.0,95.0,0.15,0.475
407,35.0,95.0,0.175,0.475
408,40.0,95.0,0.2,0.475
409,45.0,95.0,0.225,0.475
410,50.0,95.0,0.25,0.475
411,55.0,95.0,0.275,0.475
412,60.0,95.0,0.3,0.475
413,65.0,95.0,0.325,0.475
414,70.0,95.0,0.35,0.475
415,75.0,95.0,0.375,0.475
416,80.0,95.0,0.4,0.475
417,85.0,95.0,0.425,0.475
418,90.0,95.0,0.45,0.475
419,95.0,95.0,0.475,0.475
420,100.0,95.0,0.5,0.475
421,0.0,100.0,1.15384614e-35,0.5
422,5.0,100.0,0.025,0.5
423,10.0,100.0,0.05,0.5
424,15.0,100.0,0.075,0.5
425,20.0,100.0,0.1,0.5
426,25.0,100.0,0.125,0.5
427,30.0,100.0,0.15,0.5
428,35.0,100.0,0.175,0.5
429,40.0,100.0,0.2,0.5
430,45.0,100.0,0.225,0.5
431,50.0,100.0,0.25,0.5
432,55.0,100.0,0.275,0.5
433,60.0,100.0,0.3,0.5
434,65.0,100.0,0.325,0.5
435,70.0,100.0,0.35,0.5
436,75.0,100.0,0.375,0.5
437,80.0,100.0,0.4,0.5
438,85.0,100.0,0.425,0.5
439,90.0,100.0,0.45,0.5
440,95.0,100.0,0.475,0.5
441,100.0,100.0,0.5,0.5
